1	946654	0
1	17875688	1
1	55440395	2
1	81355116	0
1	110181867	1
1	114078319	8
1	215724881	3
1	235611718	3
1	242645040	0
2	365787	3
2	15692976	4
2	110968165	0
2	118874406	3
3	124624410	4
3	156635373	4
3	167762874	1
4	6021528	3
4	12932210	0
4	64902992	0
5	14877673	7
5	33832329	0
5	33832854	0
5	33835539	7
5	33835945	2
5	33835955	2
5	33839929	0
5	33844458	3
5	33848029	3
5	33849439	2
5	33849593	0
5	33858672	2
5	33859300	1
5	33881566	7
5	33881893	1
5	33883329	4
5	33899586	0
5	33921590	1
5	33926950	0
5	33928798	0
5	33932227	0
5	33932511	0
5	33933671	1
5	33933858	5
5	33935022	0
5	33935839	3
5	33936617	4
5	33938343	6
5	33940315	0
5	33940649	3
5	33940713	4
5	33944408	2
5	33944491	6
5	33946039	1
5	33946451	0
5	33946467	2
5	33948485	0
5	33950347	3
5	33951012	0
5	33951447	4
5	33951589	1
5	33952364	2
5	33954284	3
5	33956912	0
5	33958855	0
5	33960280	0
5	33960344	2
5	33962666	6
5	33966429	0
5	33967041	0
5	33968218	4
5	33968649	2
5	33969524	2
5	33975983	0
5	33980161	7
5	33992425	0
5	33994940	6
5	34000506	9
5	34035136	4
5	105193607	2
5	149813284	0
5	160448979	4
6	396322	0
6	19996578	5
6	31277013	0
6	32408584	0
6	32558999	0
6	33832564	4
6	167304909	2
6	170064063	0
7	4461166	18
7	56655754	3
7	150747296	11
8	23044056	6
8	69745596	8
8	80993299	2
8	102712671	0
8	104147254	0
8	115576320	0
8	127632711	0
9	12696500	4
9	16882919	1
9	16885020	0
9	20300846	1
9	79269046	2
9	95600211	0
10	9598582	7
10	117804633	0
10	117812893	3
11	11159319	1
11	88778357	4
11	88824824	0
11	88881157	0
11	89146748	1
11	89178529	2
11	89213899	0
11	89284794	4
11	89322394	2
11	90315732	3
12	87476313	5
12	88417913	15
12	102579440	4
12	130607422	0
13	112881819	7
14	27883926	3
15	24101306	5
15	27613263	0
15	27951892	0
15	27968705	0
15	27985102	0
15	27985173	3
15	27990628	4
15	28026566	0
15	28032794	1
15	28038296	5
15	28041262	0
15	28041323	9
15	28052912	4
15	28074503	6
15	28075516	1
15	28075819	3
15	28079301	1
15	28079663	0
15	28082690	3
15	28082761	0
15	28083620	2
15	28090675	2
15	28091805	7
15	28093568	4
15	28100786	0
15	28106231	0
15	28116224	4
15	28118914	0
15	28120473	2
15	28135373	3
15	28137614	0
15	28138420	0
15	28141481	0
15	28156195	5
15	28173940	12
15	28174016	0
15	28175207	13
15	28210655	0
15	28225698	0
15	28239854	3
15	28241589	5
15	28259971	32
15	28264022	1
15	28268159	4
15	28288420	0
15	28289409	0
15	28289632	2
15	28298007	0
15	28314865	2
15	28316061	5
15	28321240	0
15	28328681	0
15	28873639	2
15	28969514	10
15	29133734	0
15	32687901	0
15	36052590	2
15	47702909	8
15	48011914	11
15	48108003	4
15	48134288	5
15	48141298	0
15	48246830	0
15	48369246	1
15	48472746	4
16	70858348	1
16	80222545	0
16	89400033	1
16	89469481	9
16	89626692	2
16	89632353	2
16	89641630	2
16	89720933	3
16	89735545	12
16	89820842	0
16	89831489	4
16	89840472	0
16	89883823	0
16	89919437	5
16	89919511	5
16	89919684	10
16	89919710	1
16	89919737	1
16	89919747	1
16	89920139	10
16	89938286	2
16	89957795	5
16	89966048	3
18	61224837	0
18	75375516	4
19	3548234	51
19	3563985	0
19	3565602	0
20	34077943	6
20	34801858	0
22	32567061	5
22	47845113	0
22	50456592	0
