chr1	946654	1
chr1	17875688	2
chr1	55440395	2
chr1	81355116	1
chr1	110181867	0
chr1	114078319	0
chr1	215724881	0
chr1	235611718	2
chr1	242645040	3
chr2	365787	1
chr2	15692976	0
chr2	110968165	0
chr2	118874406	0
chr3	124624410	0
chr3	156635373	0
chr3	167762874	1
chr4	6021528	0
chr4	12932210	0
chr4	64902992	0
chr5	14877673	0
chr5	33832329	0
chr5	33832854	0
chr5	33835539	1
chr5	33835945	0
chr5	33835955	0
chr5	33839929	2
chr5	33844458	0
chr5	33848029	2
chr5	33849439	0
chr5	33849593	0
chr5	33858672	0
chr5	33859300	0
chr5	33881566	0
chr5	33881893	0
chr5	33883329	1
chr5	33899586	0
chr5	33921590	0
chr5	33926950	0
chr5	33928798	0
chr5	33932227	0
chr5	33932511	0
chr5	33933671	0
chr5	33933858	0
chr5	33935022	0
chr5	33935839	0
chr5	33936617	0
chr5	33938343	1
chr5	33940315	0
chr5	33940649	0
chr5	33940713	0
chr5	33944408	0
chr5	33944491	0
chr5	33946039	0
chr5	33946451	0
chr5	33946467	0
chr5	33948485	1
chr5	33950347	0
chr5	33951012	0
chr5	33951447	1
chr5	33951589	0
chr5	33952364	1
chr5	33954284	0
chr5	33956912	0
chr5	33958855	0
chr5	33960280	0
chr5	33960344	0
chr5	33962666	0
chr5	33966429	0
chr5	33967041	2
chr5	33968218	0
chr5	33968649	0
chr5	33969524	0
chr5	33975983	0
chr5	33980161	0
chr5	33992425	0
chr5	33994940	0
chr5	34000506	3
chr5	34035136	0
chr5	105193607	0
chr5	149813284	1
chr5	160448979	0
chr6	396322	1
chr6	19996578	0
chr6	31277013	1
chr6	32408584	0
chr6	32558999	0
chr6	33832564	2
chr6	167304909	0
chr6	170064063	0
chr7	4461166	0
chr7	56655754	0
chr7	150747296	0
chr8	23044056	0
chr8	69745596	0
chr8	80993299	0
chr8	102712671	1
chr8	104147254	0
chr8	115576320	0
chr8	127632711	1
chr9	12696500	0
chr9	16882919	1
chr9	16885020	1
chr9	20300846	0
chr9	79269046	0
chr9	95600211	0
chr10	9598582	0
chr10	117804633	0
chr10	117812893	1
chr11	11159319	0
chr11	88778357	0
chr11	88824824	0
chr11	88881157	1
chr11	89146748	0
chr11	89178529	0
chr11	89213899	0
chr11	89284794	3
chr11	89322394	0
chr11	90315732	0
chr12	87476313	0
chr12	88417913	1
chr12	102579440	0
chr12	130607422	0
chr13	112881819	0
chr14	27883926	0
chr15	24101306	1
chr15	27613263	0
chr15	27951892	6
chr15	27968705	1
chr15	27985102	3
chr15	27985173	2
chr15	27990628	1
chr15	28026566	0
chr15	28032794	1
chr15	28038296	1
chr15	28041262	1
chr15	28041323	5
chr15	28052912	0
chr15	28074503	0
chr15	28075516	0
chr15	28075819	0
chr15	28079301	2
chr15	28079663	0
chr15	28082690	1
chr15	28082761	0
chr15	28083620	0
chr15	28090675	2
chr15	28091805	3
chr15	28093568	0
chr15	28100786	0
chr15	28106231	0
chr15	28116224	0
chr15	28118914	0
chr15	28120473	0
chr15	28135373	0
chr15	28137614	0
chr15	28138420	0
chr15	28141481	1
chr15	28156195	1
chr15	28173940	1
chr15	28174016	0
chr15	28175207	1
chr15	28210655	0
chr15	28225698	0
chr15	28239854	0
chr15	28241589	0
chr15	28259971	0
chr15	28264022	0
chr15	28268159	1
chr15	28288420	0
chr15	28289409	0
chr15	28289632	0
chr15	28298007	0
chr15	28314865	0
chr15	28316061	2
chr15	28321240	0
chr15	28328681	0
chr15	28873639	6
chr15	28969514	1
chr15	29133734	0
chr15	32687901	1
chr15	36052590	0
chr15	47702909	3
chr15	48011914	0
chr15	48108003	0
chr15	48134288	1
chr15	48141298	0
chr15	48246830	2
chr15	48369246	0
chr15	48472746	0
chr16	70858348	0
chr16	80222545	1
chr16	89400033	0
chr16	89469481	1
chr16	89626692	0
chr16	89632353	2
chr16	89641630	0
chr16	89720933	1
chr16	89735545	0
chr16	89820842	1
chr16	89831489	0
chr16	89840472	0
chr16	89883823	1
chr16	89919437	1
chr16	89919511	1
chr16	89919684	0
chr16	89919710	0
chr16	89919737	0
chr16	89919747	0
chr16	89920139	1
chr16	89938286	1
chr16	89957795	0
chr16	89966048	1
chr18	61224837	0
chr18	75375516	0
chr19	3548234	2
chr19	3563985	2
chr19	3565602	0
chr20	34077943	0
chr20	34801858	0
chr22	32567061	0
chr22	47845113	0
chr22	50456592	0
